Sample Name	Assay Name	Protocol REF	Performer	Date	Comment [note]	Parameter Value [group1.insecticidal substance]	Term Source Ref	Term Accession Number	Parameter Value [group1.concentration]	Unit	Term Source Ref	Term Accession Number	Parameter Value [duration of exposure]	Unit	Term Source Ref	Term Accession Number	Raw Data File
PMI93	PMI.IR_WHO.PMI93.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI94	PMI.IR_WHO.PMI94.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI95	PMI.IR_WHO.PMI95.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI96	PMI.IR_WHO.PMI96.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI97	PMI.IR_WHO.PMI97.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI98	PMI.IR_WHO.PMI98.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI99	PMI.IR_WHO.PMI99.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI100	PMI.IR_WHO.PMI100.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI101	PMI.IR_WHO.PMI101.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI104	PMI.IR_WHO.PMI104.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI105	PMI.IR_WHO.PMI105.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI108	PMI.IR_WHO.PMI108.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI110	PMI.IR_WHO.PMI110.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI111	PMI.IR_WHO.PMI111.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI112	PMI.IR_WHO.PMI112.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI115	PMI.IR_WHO.PMI115.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI116	PMI.IR_WHO.PMI116.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI117	PMI.IR_WHO.PMI117.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI118	PMI.IR_WHO.PMI118.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI119	PMI.IR_WHO.PMI119.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI122	PMI.IR_WHO.PMI122.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI123	PMI.IR_WHO.PMI123.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI124	PMI.IR_WHO.PMI124.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI125	PMI.IR_WHO.PMI125.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI128	PMI.IR_WHO.PMI128.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI129	PMI.IR_WHO.PMI129.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI130	PMI.IR_WHO.PMI130.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI131	PMI.IR_WHO.PMI131.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI132	PMI.IR_WHO.PMI132.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI133	PMI.IR_WHO.PMI133.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI137	PMI.IR_WHO.PMI137.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI138	PMI.IR_WHO.PMI138.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI139	PMI.IR_WHO.PMI139.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI140	PMI.IR_WHO.PMI140.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI141	PMI.IR_WHO.PMI141.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI144	PMI.IR_WHO.PMI144.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI145	PMI.IR_WHO.PMI145.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI147	PMI.IR_WHO.PMI147.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI148	PMI.IR_WHO.PMI148.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI149	PMI.IR_WHO.PMI149.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI150	PMI.IR_WHO.PMI150.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI153	PMI.IR_WHO.PMI153.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI154	PMI.IR_WHO.PMI154.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI155	PMI.IR_WHO.PMI155.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI156	PMI.IR_WHO.PMI156.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI157	PMI.IR_WHO.PMI157.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI160	PMI.IR_WHO.PMI160.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI163	PMI.IR_WHO.PMI163.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI164	PMI.IR_WHO.PMI164.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI165	PMI.IR_WHO.PMI165.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI167	PMI.IR_WHO.PMI167.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI171	PMI.IR_WHO.PMI171.Propoxur 0.1%	IR_WHO				propoxur	MIRO	10000023	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI172	PMI.IR_WHO.PMI172.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI174	PMI.IR_WHO.PMI174.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI175	PMI.IR_WHO.PMI175.Pirimiphos?methyl 0.25%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.25	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI177	PMI.IR_WHO.PMI177.Propoxur 0.1%	IR_WHO				propoxur	MIRO	10000023	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI178	PMI.IR_WHO.PMI178.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI179	PMI.IR_WHO.PMI179.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI180	PMI.IR_WHO.PMI180.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI181	PMI.IR_WHO.PMI181.Pirimiphos?methyl 0.25%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.25	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI182	PMI.IR_WHO.PMI182.Propoxur 0.1%	IR_WHO				propoxur	MIRO	10000023	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI183	PMI.IR_WHO.PMI183.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI184	PMI.IR_WHO.PMI184.Pirimiphos?methyl 0.25%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.25	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI185	PMI.IR_WHO.PMI185.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI186	PMI.IR_WHO.PMI186.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI187	PMI.IR_WHO.PMI187.Propoxur 0.1%	IR_WHO				propoxur	MIRO	10000023	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI188	PMI.IR_WHO.PMI188.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI190	PMI.IR_WHO.PMI190.Pirimiphos?methyl 0.25%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.25	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI192	PMI.IR_WHO.PMI192.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI194	PMI.IR_WHO.PMI194.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI195	PMI.IR_WHO.PMI195.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
