Assay Name	Phenotype Name	Observable	Term Source Ref	Term Accession Number	Attribute	Term Source Ref	Term Accession Number	Value	Term Source Ref	Term Accession Number	Unit	Term Source Ref	Term Accession Number
PMI.IR_WHO.PMI16.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI17.Deltamethrin 0.05%	mortality percentage:94.3, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	94.3			percent	UO	0000187
PMI.IR_WHO.PMI18.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI19.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI20.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI21.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI22.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI23.Deltamethrin 0.05%	mortality percentage:94.7, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	94.7			percent	UO	0000187
PMI.IR_WHO.PMI24.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI25.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI26.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI27.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI29.DDT 4.0%	mortality percentage:64.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	64.0			percent	UO	0000187
PMI.IR_WHO.PMI39.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI40.DDT 4.0%	mortality percentage:0.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	0.0			percent	UO	0000187
PMI.IR_WHO.PMI41.Deltamethrin 0.05%	mortality percentage:14.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	14.0			percent	UO	0000187
PMI.IR_WHO.PMI42.Permethrin 0.75%	mortality percentage:11.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	11.0			percent	UO	0000187
PMI.IR_WHO.PMI43.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI44.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI45.Deltamethrin 0.05%	mortality percentage:11.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	11.0			percent	UO	0000187
PMI.IR_WHO.PMI48.Bendiocarb 0.1%	mortality percentage:98.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI49.Deltamethrin 0.05%	mortality percentage:37.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	37.0			percent	UO	0000187
PMI.IR_WHO.PMI50.Permethrin 0.75%	mortality percentage:0.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	0.0			percent	UO	0000187
PMI.IR_WHO.PMI51.Pirimiphos?methyl 0.25%	mortality percentage:100.0, 0.25 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI52.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI53.DDT 4.0%	mortality percentage:2.5, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	2.5			percent	UO	0000187
PMI.IR_WHO.PMI54.Deltamethrin 0.05%	mortality percentage:74.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	74.0			percent	UO	0000187
PMI.IR_WHO.PMI55.Permethrin 0.75%	mortality percentage:17.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	17.0			percent	UO	0000187
PMI.IR_WHO.PMI56.Bendiocarb 0.1%	mortality percentage:96.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	96.0			percent	UO	0000187
PMI.IR_WHO.PMI57.Bendiocarb 0.1%	mortality percentage:12.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	12.0			percent	UO	0000187
PMI.IR_WHO.PMI58.DDT 4.0%	mortality percentage:12.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	12.0			percent	UO	0000187
PMI.IR_WHO.PMI59.Deltamethrin 0.05%	mortality percentage:51.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	51.0			percent	UO	0000187
PMI.IR_WHO.PMI62.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI63.DDT 4.0%	mortality percentage:14.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	14.0			percent	UO	0000187
PMI.IR_WHO.PMI64.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI65.Permethrin 0.75%	mortality percentage:6.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI66.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI67.DDT 4.0%	mortality percentage:12.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	12.0			percent	UO	0000187
PMI.IR_WHO.PMI68.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI69.Permethrin 0.75%	mortality percentage:6.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI70.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI71.DDT 4.0%	mortality percentage:5.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	5.0			percent	UO	0000187
PMI.IR_WHO.PMI72.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI73.Permethrin 0.75%	mortality percentage:16.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	16.0			percent	UO	0000187
PMI.IR_WHO.PMI74.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI75.DDT 4.0%	mortality percentage:12.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	12.0			percent	UO	0000187
PMI.IR_WHO.PMI76.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI77.Permethrin 0.75%	mortality percentage:13.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI78.DDT 4.0%	mortality percentage:17.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	17.0			percent	UO	0000187
PMI.IR_WHO.PMI79.Bendiocarb 0.1%	mortality percentage:98.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI80.Deltamethrin 0.05%	mortality percentage:27.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	27.0			percent	UO	0000187
PMI.IR_WHO.PMI83.Permethrin 0.75%	mortality percentage:15.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	15.0			percent	UO	0000187
PMI.IR_WHO.PMI84.DDT 4.0%	mortality percentage:13.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI85.Deltamethrin 0.05%	mortality percentage:85.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	85.0			percent	UO	0000187
PMI.IR_WHO.PMI86.Permethrin 0.75%	mortality percentage:99.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI87.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI88.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI89.DDT 4.0%	mortality percentage:13.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI90.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI91.Permethrin 0.75%	mortality percentage:6.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI92.Bendiocarb 0.1%	mortality percentage:95.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI93.DDT 4.0%	mortality percentage:18.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	18.0			percent	UO	0000187
PMI.IR_WHO.PMI94.Deltamethrin 0.05%	mortality percentage:31.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI95.Permethrin 0.75%	mortality percentage:6.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI96.Bendiocarb 0.1%	mortality percentage:90.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI97.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI98.DDT 4.0%	mortality percentage:5.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	5.0			percent	UO	0000187
PMI.IR_WHO.PMI99.DDT 4.0%	mortality percentage:6.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI100.Deltamethrin 0.05%	mortality percentage:87.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI101.Deltamethrin 0.05%	mortality percentage:91.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	91.0			percent	UO	0000187
PMI.IR_WHO.PMI104.Permethrin 0.75%	mortality percentage:75.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	75.0			percent	UO	0000187
PMI.IR_WHO.PMI105.Permethrin 0.75%	mortality percentage:7.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	7.0			percent	UO	0000187
PMI.IR_WHO.PMI108.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI110.DDT 4.0%	mortality percentage:1.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	1.0			percent	UO	0000187
PMI.IR_WHO.PMI111.Deltamethrin 0.05%	mortality percentage:88.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	88.0			percent	UO	0000187
PMI.IR_WHO.PMI112.Deltamethrin 0.05%	mortality percentage:76.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	76.0			percent	UO	0000187
PMI.IR_WHO.PMI115.Permethrin 0.75%	mortality percentage:65.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	65.0			percent	UO	0000187
PMI.IR_WHO.PMI116.Permethrin 0.75%	mortality percentage:13.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI117.Bendiocarb 0.1%	mortality percentage:89.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI118.DDT 4.0%	mortality percentage:26.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI119.Deltamethrin 0.05%	mortality percentage:87.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI122.Permethrin 0.75%	mortality percentage:62.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	62.0			percent	UO	0000187
PMI.IR_WHO.PMI123.Bendiocarb 0.1%	mortality percentage:87.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI124.DDT 4.0%	mortality percentage:27.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	27.0			percent	UO	0000187
PMI.IR_WHO.PMI125.Deltamethrin 0.05%	mortality percentage:91.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	91.0			percent	UO	0000187
PMI.IR_WHO.PMI128.Permethrin 0.75%	mortality percentage:45.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	45.0			percent	UO	0000187
PMI.IR_WHO.PMI129.Bendiocarb 0.1%	mortality percentage:99.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI130.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI131.DDT 4.0%	mortality percentage:17.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	17.0			percent	UO	0000187
PMI.IR_WHO.PMI132.DDT 4.0%	mortality percentage:3.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	3.0			percent	UO	0000187
PMI.IR_WHO.PMI133.Deltamethrin 0.05%	mortality percentage:93.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	93.0			percent	UO	0000187
PMI.IR_WHO.PMI137.Permethrin 0.75%	mortality percentage:66.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	66.0			percent	UO	0000187
PMI.IR_WHO.PMI138.Permethrin 0.75%	mortality percentage:27.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	27.0			percent	UO	0000187
PMI.IR_WHO.PMI139.Bendiocarb 0.1%	mortality percentage:85.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	85.0			percent	UO	0000187
PMI.IR_WHO.PMI140.DDT 4.0%	mortality percentage:27.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	27.0			percent	UO	0000187
PMI.IR_WHO.PMI141.Deltamethrin 0.05%	mortality percentage:80.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	80.0			percent	UO	0000187
PMI.IR_WHO.PMI144.Permethrin 0.75%	mortality percentage:31.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	31.0			percent	UO	0000187
PMI.IR_WHO.PMI145.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI147.DDT 4.0%	mortality percentage:78.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	78.0			percent	UO	0000187
PMI.IR_WHO.PMI148.DDT 4.0%	mortality percentage:1.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	1.0			percent	UO	0000187
PMI.IR_WHO.PMI149.Deltamethrin 0.05%	mortality percentage:80.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	80.0			percent	UO	0000187
PMI.IR_WHO.PMI150.Deltamethrin 0.05%	mortality percentage:92.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	92.0			percent	UO	0000187
PMI.IR_WHO.PMI153.Permethrin 0.75%	mortality percentage:85.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	85.0			percent	UO	0000187
PMI.IR_WHO.PMI154.Permethrin 0.75%	mortality percentage:33.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	33.0			percent	UO	0000187
PMI.IR_WHO.PMI155.Bendiocarb 0.1%	mortality percentage:65.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	65.0			percent	UO	0000187
PMI.IR_WHO.PMI156.DDT 4.0%	mortality percentage:23.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	23.0			percent	UO	0000187
PMI.IR_WHO.PMI157.Deltamethrin 0.05%	mortality percentage:93.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	93.0			percent	UO	0000187
PMI.IR_WHO.PMI160.Permethrin 0.75%	mortality percentage:32.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	32.0			percent	UO	0000187
PMI.IR_WHO.PMI163.Permethrin 0.75%	mortality percentage:97.1, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.1			percent	UO	0000187
PMI.IR_WHO.PMI164.Bendiocarb 0.1%	mortality percentage:90.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI165.Bendiocarb 0.1%	mortality percentage:79.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	79.0			percent	UO	0000187
PMI.IR_WHO.PMI167.Deltamethrin 0.05%	mortality percentage:49.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	49.0			percent	UO	0000187
PMI.IR_WHO.PMI171.Propoxur 0.1%	mortality percentage:90.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI172.Bendiocarb 0.1%	mortality percentage:59.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	59.0			percent	UO	0000187
PMI.IR_WHO.PMI174.Fenitrothion 1.0%	mortality percentage:95.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI175.Pirimiphos?methyl 0.25%	mortality percentage:100.0, 0.25 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI177.Propoxur 0.1%	mortality percentage:89.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI178.Bendiocarb 0.1%	mortality percentage:62.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	62.0			percent	UO	0000187
PMI.IR_WHO.PMI179.Deltamethrin 0.05%	mortality percentage:57.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	57.0			percent	UO	0000187
PMI.IR_WHO.PMI180.Fenitrothion 1.0%	mortality percentage:95.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI181.Pirimiphos?methyl 0.25%	mortality percentage:100.0, 0.25 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI182.Propoxur 0.1%	mortality percentage:91.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	91.0			percent	UO	0000187
PMI.IR_WHO.PMI183.Fenitrothion 1.0%	mortality percentage:90.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI184.Pirimiphos?methyl 0.25%	mortality percentage:98.9, 0.25 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.9			percent	UO	0000187
PMI.IR_WHO.PMI185.Bendiocarb 0.1%	mortality percentage:79.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	79.0			percent	UO	0000187
PMI.IR_WHO.PMI186.Deltamethrin 0.05%	mortality percentage:68.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	68.0			percent	UO	0000187
PMI.IR_WHO.PMI187.Propoxur 0.1%	mortality percentage:80.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	80.0			percent	UO	0000187
