Source Name	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Source	Comment [PubMed ID]	Comment [MAP ID]
malariaAtlas	MAP.2341		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2341
malariaAtlas	MAP.2342		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2342
malariaAtlas	MAP.2343		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2343
malariaAtlas	MAP.2348		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2348
malariaAtlas	MAP.2354		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2354
malariaAtlas	MAP.2355		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2355
malariaAtlas	MAP.2356		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2356
malariaAtlas	MAP.2357		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2357
malariaAtlas	MAP.2358		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2358
malariaAtlas	MAP.2359		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2359
malariaAtlas	MAP.2360		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2360
malariaAtlas	MAP.2361		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2361
malariaAtlas	MAP.2362		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2362
malariaAtlas	MAP.2363		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2363
malariaAtlas	MAP.2364		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2364
malariaAtlas	MAP.2365		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2365
malariaAtlas	MAP.2366		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2366
malariaAtlas	MAP.2367		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2367
malariaAtlas	MAP.2371		population	OBI	0000181	Bodker, R. (2000). <i>Variation in malaria risk in the Usambara mountains, Tanzania.</i> D. Phil. Thesis. University of Copenhagen, Copenhagen, Denmark. 155 p.		MAP.2371
malariaAtlas	MAP.2397		population	OBI	0000181	Bonnet, S., Paul, R.E., Gouagna, C., Safeukui, I., Meunier, J.Y., Gounoue, R. and Boudin, C. (2002).  <b>Level and dynamics of malaria transmission and morbidity in an equatorial area of South Cameroon.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(3):249-56	11903987	MAP.2397
malariaAtlas	MAP.2399		population	OBI	0000181	Bonnet, S., Paul, R.E., Gouagna, C., Safeukui, I., Meunier, J.Y., Gounoue, R. and Boudin, C. (2002).  <b>Level and dynamics of malaria transmission and morbidity in an equatorial area of South Cameroon.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(3):249-56	11903987	MAP.2399
malariaAtlas	MAP.2400		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2400
malariaAtlas	MAP.2401		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2401
malariaAtlas	MAP.2402		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2402
malariaAtlas	MAP.2403		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2403
malariaAtlas	MAP.2404		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2404
malariaAtlas	MAP.2405		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2405
malariaAtlas	MAP.2406		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2406
malariaAtlas	MAP.2407		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2407
malariaAtlas	MAP.2408		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2408
malariaAtlas	MAP.2409		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2409
malariaAtlas	MAP.2410		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2410
malariaAtlas	MAP.2411		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2411
malariaAtlas	MAP.2412		population	OBI	0000181	Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42	1339967	MAP.2412
malariaAtlas	MAP.2417		population	OBI	0000181	Bwonya, J.E. (1987). <i>Evaluation of malaria control in Kisumu municipality, Kenya: A case study.</i> MPh Thesis. University of Nairobi, Nairobi, Kenya. n.f p.		MAP.2417
malariaAtlas	MAP.2419		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2419
malariaAtlas	MAP.2421		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2421
malariaAtlas	MAP.2422		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2422
malariaAtlas	MAP.2423		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2423
malariaAtlas	MAP.2427		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2427
malariaAtlas	MAP.2428		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2428
malariaAtlas	MAP.2429		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2429
malariaAtlas	MAP.2430		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2430
malariaAtlas	MAP.2431		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2431
malariaAtlas	MAP.2435		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2435
malariaAtlas	MAP.2436		population	OBI	0000181	Carnevale, P., Robert, V., Boudin, C., Halna, J.M., Pazart, L., Gazin, P., Richard, A. and Mouchet, J. (1988).  <b>[Control of malaria using mosquito nets impregnated with pyrethroids in Burkina Faso].</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>81</b>(5):832-46	3240569	MAP.2436
malariaAtlas	MAP.2437		population	OBI	0000181	Carrara, G.C., Petrarca, V., Niang, M. and Coluzzi, M. (1990).  <b><i>Anopheles pharoensis</i> and transmission of <i>Plasmodium falciparum</i> in the Senegal River delta, West Africa.</b> <i>Medical and Veterinary Entomology</i>, <b>4</b>(4):421-4	2133009	MAP.2437
malariaAtlas	MAP.2442		population	OBI	0000181	Carrara, G.C., Petrarca, V., Niang, M. and Coluzzi, M. (1990).  <b><i>Anopheles pharoensis</i> and transmission of <i>Plasmodium falciparum</i> in the Senegal River delta, West Africa.</b> <i>Medical and Veterinary Entomology</i>, <b>4</b>(4):421-4	2133009	MAP.2442
malariaAtlas	MAP.2447		population	OBI	0000181	Charlwood, J.D. (1997). <i>United Nations High Commission for Refugees programme and technical support section, East Sudan Medical Entomology Mission, 18th August-19th September 1997.</i> 97/31. Sudan: United Nations High Commission for Refugees 41pg.		MAP.2447
malariaAtlas	MAP.2452		population	OBI	0000181	Charlwood, J.D. (1997). <i>United Nations High Commission for Refugees programme and technical support section, East Sudan Medical Entomology Mission, 18th August-19th September 1997.</i> 97/31. Sudan: United Nations High Commission for Refugees 41pg.		MAP.2452
malariaAtlas	MAP.2453		population	OBI	0000181	Charlwood, J.D. (1997). <i>United Nations High Commission for Refugees programme and technical support section, East Sudan Medical Entomology Mission, 18th August-19th September 1997.</i> 97/31. Sudan: United Nations High Commission for Refugees 41pg.		MAP.2453
malariaAtlas	MAP.2462		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2462
malariaAtlas	MAP.2467		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2467
malariaAtlas	MAP.2468		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2468
malariaAtlas	MAP.2471		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2471
malariaAtlas	MAP.2473		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2473
malariaAtlas	MAP.2477		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2477
malariaAtlas	MAP.2480		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2480
malariaAtlas	MAP.2491		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2491
malariaAtlas	MAP.2501		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2501
malariaAtlas	MAP.2503		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2503
malariaAtlas	MAP.2507		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2507
malariaAtlas	MAP.2515		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2515
malariaAtlas	MAP.2521		population	OBI	0000181	CDCD, MoH. (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala, Uganda: Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO 87pg.		MAP.2521
malariaAtlas	MAP.2526		population	OBI	0000181	Crook, S.E. and Baptista, A. (1995).  <b>The effect of permethrin-impregnated wall-curtains on malaria transmission and morbidity in the suburbs of Maputo, Mozambique.</b> <i>Tropical and Geographical Medicine</i>, <b>47</b>(2):64-7	8592765	MAP.2526
malariaAtlas	MAP.2527		population	OBI	0000181	Crook, S.E. and Baptista, A. (1995).  <b>The effect of permethrin-impregnated wall-curtains on malaria transmission and morbidity in the suburbs of Maputo, Mozambique.</b> <i>Tropical and Geographical Medicine</i>, <b>47</b>(2):64-7	8592765	MAP.2527
malariaAtlas	MAP.2528		population	OBI	0000181	Crook, S.E. and Baptista, A. (1995).  <b>The effect of permethrin-impregnated wall-curtains on malaria transmission and morbidity in the suburbs of Maputo, Mozambique.</b> <i>Tropical and Geographical Medicine</i>, <b>47</b>(2):64-7	8592765	MAP.2528
malariaAtlas	MAP.2529		population	OBI	0000181	Crook, S.E. and Baptista, A. (1995).  <b>The effect of permethrin-impregnated wall-curtains on malaria transmission and morbidity in the suburbs of Maputo, Mozambique.</b> <i>Tropical and Geographical Medicine</i>, <b>47</b>(2):64-7	8592765	MAP.2529
malariaAtlas	MAP.2530		population	OBI	0000181	Crook, S.E. and Baptista, A. (1995).  <b>The effect of permethrin-impregnated wall-curtains on malaria transmission and morbidity in the suburbs of Maputo, Mozambique.</b> <i>Tropical and Geographical Medicine</i>, <b>47</b>(2):64-7	8592765	MAP.2530
malariaAtlas	MAP.2536		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2536
malariaAtlas	MAP.2537		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2537
malariaAtlas	MAP.2538		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2538
malariaAtlas	MAP.2539		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2539
malariaAtlas	MAP.2540		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2540
malariaAtlas	MAP.2541		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2541
malariaAtlas	MAP.2542		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2542
malariaAtlas	MAP.2543		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2543
malariaAtlas	MAP.2544		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2544
malariaAtlas	MAP.2545		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2545
malariaAtlas	MAP.2546		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2546
malariaAtlas	MAP.2547		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2547
malariaAtlas	MAP.2548		population	OBI	0000181	Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O. (2000).  <b>[Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data].</b> <i>Santé </i>, <b>10</b>(3):221-9	11022155	MAP.2548
